400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforDecember 15, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY231215C00505000 2023-01-23 3:44PM EST 505.00 1.55 0.90 2.03 0.00 - 43 9,675 16.41%
SPY231215C00510000 2023-01-23 3:44PM EST 510.00 1.31 0.70 1.79 0.00 - 42 9,164 16.47%
SPY231215C00515000 2023-01-23 1:56PM EST 515.00 1.13 0.80 1.59 0.00 - 252 11,717 16.55%
SPY231215C00520000 2023-01-24 11:17AM EST 520.00 0.84 0.39 1.05 -0.08 -8.70% 1 12,234 15.71%
SPY231215C00525000 2023-01-23 1:51PM EST 525.00 0.83 0.28 1.27 0.00 - 452 11,207 16.75%
SPY231215C00530000 2023-01-23 3:45PM EST 530.00 0.71 0.19 1.15 0.00 - 41 6,229 16.89%
SPY231215C00535000 2023-01-23 3:45PM EST 535.00 0.62 0.12 0.57 0.00 - 49 11,823 15.38%
SPY231215C00540000 2023-01-23 3:50PM EST 540.00 0.55 0.06 0.96 0.00 - 38 13,353 17.21%
SPY231215C00545000 2023-01-23 3:51PM EST 545.00 0.49 0.03 0.89 0.00 - 37 10,707 17.40%
SPY231215C00550000 2023-01-23 2:31PM EST 550.00 0.40 0.01 0.42 0.00 - 403 16,350 15.83%
SPY231215C00555000 2023-01-23 3:44PM EST 555.00 0.38 0.00 0.77 0.00 - 36 6,891 17.79%
SPY231215C00560000 2023-01-23 3:50PM EST 560.00 0.35 0.01 0.50 0.00 - 35 7,747 17.01%
SPY231215C00565000 2023-01-23 3:50PM EST 565.00 0.32 0.01 0.69 0.00 - 35 8,776 18.25%
SPY231215C00570000 2023-01-23 3:50PM EST 570.00 0.29 0.00 0.65 0.00 - 34 6,332 18.46%
SPY231215C00575000 2023-01-23 3:51PM EST 575.00 0.26 0.00 0.62 0.00 - 33 5,931 18.70%
