400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJune 30, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230630C00392000 2023-01-23 10:45AM EST 392.00 28.09 27.56 29.13 0.00 - 6 76 23.96%
SPY230630C00393000 2023-01-24 10:39AM EST 393.00 26.60 26.88 28.44 +3.10 +13.19% 1 81 23.79%
SPY230630C00394000 2023-01-20 10:54AM EST 394.00 21.18 26.21 27.75 0.00 - 1 29 23.62%
SPY230630C00395000 2023-01-24 2:50PM EST 395.00 26.00 25.54 27.06 -1.01 -3.74% 1 628 23.44%
SPY230630C00396000 2023-01-23 1:13PM EST 396.00 26.50 24.87 26.39 0.00 - 2 50 23.28%
SPY230630C00397000 2023-01-23 12:51PM EST 397.00 25.55 24.22 25.71 0.00 - 2 58 23.10%
SPY230630C00398000 2023-01-24 9:47AM EST 398.00 23.00 23.57 25.05 +2.80 +13.86% 2 114 22.93%
SPY230630C00399000 2023-01-19 12:16PM EST 399.00 18.08 22.92 24.39 0.00 - 1 27 22.76%
SPY230630C00400000 2023-01-24 2:01PM EST 400.00 22.60 22.29 23.74 -0.90 -3.83% 6 3,445 22.59%
SPY230630C00401000 2023-01-24 1:23PM EST 401.00 21.98 21.66 23.09 +0.32 +1.48% 8 234 22.42%
SPY230630C00402000 2023-01-24 2:54PM EST 402.00 21.81 21.03 22.45 -1.21 -5.26% 5 40 22.25%
SPY230630C00403000 2023-01-24 10:09AM EST 403.00 20.20 20.42 21.82 +4.57 +29.24% 6 76 22.08%
SPY230630C00404000 2023-01-24 1:05PM EST 404.00 19.70 19.81 21.19 -1.80 -8.37% 1 2,344 21.91%
SPY230630C00405000 2023-01-24 12:42PM EST 405.00 19.65 19.21 20.58 -0.49 -2.43% 1 359 21.75%
SPY230630C00406000 2023-01-23 11:07AM EST 406.00 20.26 18.61 19.97 0.00 - 2 67 21.58%
SPY230630C00407000 2023-01-09 9:32AM EST 407.00 16.93 18.03 19.36 0.00 - 1 164 21.41%
SPY230630C00408000 2023-01-12 11:01AM EST 408.00 17.43 17.46 18.77 0.00 - 8 202 21.25%
SPY230630C00409000 2023-01-20 12:03PM EST 409.00 13.68 16.88 18.18 0.00 - 1 109 21.08%
SPY230630C00410000 2023-01-24 3:32PM EST 410.00 16.69 16.32 17.61 -0.46 -2.68% 9 2,483 20.92%
SPY230630C00411000 2023-01-23 3:24PM EST 411.00 16.62 15.77 17.04 0.00 - 37 396 20.76%
SPY230630C00415000 2023-01-23 2:07PM EST 415.00 15.06 13.65 14.85 0.00 - 32 937 20.12%
SPY230630C00420000 2023-01-24 1:47PM EST 420.00 11.88 11.23 12.34 -0.15 -1.25% 5 2,784 19.35%
SPY230630C00425000 2023-01-24 2:47PM EST 425.00 9.45 9.08 10.09 -0.12 -1.25% 1 1,266 18.63%
SPY230630C00430000 2023-01-24 3:11PM EST 430.00 7.60 7.41 8.12 -0.25 -3.18% 11 2,662 17.97%
SPY230630C00435000 2023-01-24 2:29PM EST 435.00 5.80 5.61 6.43 -0.85 -12.78% 2 3,804 17.37%
SPY230630C00440000 2023-01-24 4:01PM EST 440.00 4.67 4.28 5.03 -0.02 -0.43% 31 4,640 16.86%
SPY230630C00445000 2023-01-24 12:03PM EST 445.00 3.31 3.22 3.88 -0.27 -7.54% 2 3,713 16.40%
SPY230630C00450000 2023-01-24 4:02PM EST 450.00 2.80 2.37 2.97 +0.05 +1.82% 71 2,967 16.03%
SPY230630C00455000 2023-01-24 4:01PM EST 455.00 2.08 1.73 2.26 +0.05 +2.46% 6 1,299 15.74%
SPY230630C00460000 2023-01-24 3:40PM EST 460.00 1.42 1.24 1.72 -0.13 -8.39% 4 832 15.53%
SPY230630C00465000 2023-01-24 4:02PM EST 465.00 1.16 0.89 1.33 0.00 - 1 1,395 15.43%
SPY230630C00470000 2023-01-24 4:02PM EST 470.00 0.89 0.74 1.03 -0.02 -2.20% 61 1,883 15.38%
SPY230630C00475000 2023-01-24 11:34AM EST 475.00 0.65 0.45 0.82 0.00 - 10 914 15.43%
SPY230630C00480000 2023-01-24 11:46AM EST 480.00 0.51 0.31 0.67 0.00 - 20 743 15.56%
SPY230630C00485000 2023-01-23 2:56PM EST 485.00 0.39 0.21 0.56 0.00 - 1 126 15.76%
SPY230630C00490000 2023-01-24 10:04AM EST 490.00 0.32 0.13 0.48 -0.02 -5.88% 55 723 16.02%
SPY230630C00495000 2023-01-23 2:55PM EST 495.00 0.27 0.07 0.40 0.00 - 4 728 16.20%
SPY230630C00500000 2023-01-24 12:09PM EST 500.00 0.22 0.07 0.37 -0.01 -4.35% 48 5,298 16.63%
SPY230630C00505000 2023-01-23 2:55PM EST 505.00 0.18 0.00 0.34 0.00 - 6 353 17.02%
SPY230630C00510000 2023-01-23 10:19AM EST 510.00 0.15 0.00 0.31 0.00 - 11 1,167 17.38%
SPY230630C00515000 2023-01-19 9:41AM EST 515.00 0.10 0.00 0.29 0.00 - 20 219 17.80%
SPY230630C00520000 2023-01-24 10:47AM EST 520.00 0.11 0.00 0.27 +0.02 +22.22% 1 669 18.19%
SPY230630C00525000 2023-01-20 1:10PM EST 525.00 0.06 0.05 0.08 0.00 - 1,000 13,787 16.16%
SPY230630C00530000 2023-01-20 9:33AM EST 530.00 0.04 0.00 0.25 0.00 - 1 250 19.10%
SPY230630C00535000 2023-01-19 3:43PM EST 535.00 0.05 0.00 0.24 0.00 - 1 247 19.53%
SPY230630C00540000 2023-01-24 9:41AM EST 540.00 0.06 0.01 0.20 +0.01 +20.00% 100 727 19.61%
SPY230630C00545000 2023-01-24 3:15PM EST 545.00 0.05 0.00 0.20 0.00 - 105 2,513 20.12%
PutsforJune 30, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230630P00255000 2023-01-24 2:02PM EST 255.00 0.90 0.85 0.91 -0.06 -6.25% 12 1,684 36.72%
SPY230630P00260000 2023-01-24 1:41PM EST 260.00 0.97 0.92 0.98 -0.05 -4.90% 40 656 35.80%
SPY230630P00265000 2023-01-23 2:01PM EST 265.00 1.09 1.00 1.07 0.00 - 109 4,820 34.99%
SPY230630P00270000 2023-01-24 11:08AM EST 270.00 1.18 1.09 1.15 -0.07 -5.60% 46 1,552 34.07%
SPY230630P00275000 2023-01-24 1:47PM EST 275.00 1.21 1.18 1.25 -0.14 -10.37% 5 1,772 33.24%
SPY230630P00280000 2023-01-24 1:24PM EST 280.00 1.36 1.29 1.36 -0.03 -2.16% 1 1,049 32.42%
SPY230630P00285000 2023-01-24 2:37PM EST 285.00 1.45 1.40 1.48 -0.08 -5.23% 270 623 31.60%
SPY230630P00290000 2023-01-24 2:43PM EST 290.00 1.58 1.54 1.62 -0.13 -7.60% 170 896 30.82%
SPY230630P00295000 2023-01-24 12:00PM EST 295.00 1.83 1.68 1.77 -0.03 -1.61% 537 1,096 30.04%
SPY230630P00300000 2023-01-24 3:48PM EST 300.00 1.98 1.85 1.94 -0.08 -3.88% 139 2,823 29.28%
SPY230630P00305000 2023-01-24 4:03PM EST 305.00 2.06 2.03 2.14 -0.13 -5.94% 233 647 28.57%
SPY230630P00310000 2023-01-24 4:04PM EST 310.00 2.26 2.24 2.35 -0.16 -6.61% 34 584 27.82%
SPY230630P00315000 2023-01-24 3:25PM EST 315.00 2.59 2.48 2.60 -0.16 -5.82% 11 518 27.13%
SPY230630P00320000 2023-01-24 4:01PM EST 320.00 2.80 2.75 2.88 -0.22 -7.28% 11 3,318 26.44%
SPY230630P00325000 2023-01-24 3:41PM EST 325.00 3.25 3.05 3.20 -0.08 -2.40% 233 3,355 25.78%
SPY230630P00330000 2023-01-24 4:12PM EST 330.00 3.45 3.40 3.56 -0.31 -8.24% 377 7,784 25.13%
SPY230630P00335000 2023-01-24 2:28PM EST 335.00 3.92 3.80 3.97 -0.21 -5.08% 92 1,407 24.49%
SPY230630P00337000 2023-01-24 2:28PM EST 337.00 4.10 3.97 4.15 -0.31 -7.03% 1 491 24.25%
SPY230630P00338000 2023-01-23 3:25PM EST 338.00 4.50 4.06 4.24 0.00 - 10 400 24.12%
SPY230630P00339000 2023-01-24 1:54PM EST 339.00 4.26 4.16 4.33 -0.24 -5.33% 4 293 23.98%
SPY230630P00340000 2023-01-24 4:13PM EST 340.00 4.33 4.25 4.43 -0.29 -6.28% 145 3,109 23.87%
SPY230630P00341000 2023-01-19 12:12PM EST 341.00 6.81 4.35 4.53 0.00 - 2 128 23.74%
SPY230630P00342000 2023-01-23 2:55PM EST 342.00 5.04 4.45 4.63 0.00 - 1 274 23.62%
SPY230630P00343000 2023-01-24 3:56PM EST 343.00 4.75 4.55 4.74 -0.30 -5.94% 1 391 23.50%
SPY230630P00344000 2023-01-23 1:02PM EST 344.00 4.90 4.66 4.85 0.00 - 90 201 23.38%
