400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJanuary 25, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230125P00342000 2023-01-19 11:33AM EST 342.00 0.03 0.00 0.01 0.00 - - 1 96.88%
SPY230125P00343000 2023-01-19 2:44PM EST 343.00 0.02 0.00 0.01 0.00 - - 0 93.75%
SPY230125P00344000 2023-01-24 9:56AM EST 344.00 0.01 0.00 0.01 -0.03 -75.00% 21 22 93.75%
SPY230125P00345000 2023-01-23 10:13AM EST 345.00 0.01 0.00 0.01 0.00 - 90 97 90.63%
SPY230125P00346000 2023-01-23 10:13AM EST 346.00 0.02 0.00 0.01 0.00 - 40 161 90.63%
SPY230125P00347000 2023-01-23 10:24AM EST 347.00 0.01 0.00 0.01 0.00 - 220 313 87.50%
SPY230125P00348000 2023-01-23 10:47AM EST 348.00 0.01 0.00 0.01 0.00 - 240 275 87.50%
SPY230125P00349000 2023-01-23 11:01AM EST 349.00 0.01 0.00 0.00 0.00 - 250 323 50.00%
SPY230125P00350000 2023-01-23 11:07AM EST 350.00 0.01 0.00 0.01 0.00 - 222 666 84.38%
SPY230125P00351000 2023-01-20 12:13PM EST 351.00 0.01 0.00 0.01 -0.01 -50.00% 1 29 81.25%
SPY230125P00352000 2023-01-20 3:16PM EST 352.00 0.01 0.00 0.01 0.00 - 7 135 81.25%
SPY230125P00353000 2023-01-20 12:18PM EST 353.00 0.02 0.00 0.01 0.00 - 39 43 78.13%
SPY230125P00354000 2023-01-23 4:00PM EST 354.00 0.01 0.00 0.00 0.00 - 26 284 50.00%
SPY230125P00355000 2023-01-24 12:18PM EST 355.00 0.01 0.00 0.00 0.00 - 1 311 50.00%
SPY230125P00356000 2023-01-17 1:00PM EST 356.00 0.04 0.00 0.01 0.00 - - 5 73.44%
SPY230125P00357000 2023-01-24 3:10PM EST 357.00 0.01 0.00 0.01 0.00 - 23 155 71.88%
SPY230125P00358000 2023-01-24 3:30PM EST 358.00 0.01 0.00 0.01 0.00 - 26 16 70.31%
SPY230125P00359000 2023-01-24 9:39AM EST 359.00 0.01 0.00 0.01 -0.01 -50.00% 10 200 68.75%
SPY230125P00360000 2023-01-24 12:30PM EST 360.00 0.01 0.00 0.01 -0.01 -50.00% 1 1,906 67.19%
SPY230125P00361000 2023-01-23 4:00PM EST 361.00 0.02 0.00 0.01 0.00 - 1 1 65.63%
SPY230125P00362000 2023-01-19 2:41PM EST 362.00 0.04 0.00 0.01 0.00 - - 188 64.06%
SPY230125P00363000 2023-01-24 9:54AM EST 363.00 0.01 0.00 0.00 -0.02 -66.67% 1 4 50.00%
SPY230125P00364000 2023-01-23 10:25AM EST 364.00 0.01 0.00 0.01 0.00 - 152 168 60.94%
SPY230125P00365000 2023-01-24 3:30PM EST 365.00 0.01 0.00 0.01 -0.01 -50.00% 1 465 59.38%
SPY230125P00366000 2023-01-24 9:45AM EST 366.00 0.01 0.00 0.00 -0.01 -50.00% 1 506 50.00%
SPY230125P00367000 2023-01-24 3:57PM EST 367.00 0.01 0.00 0.01 0.00 - 82 374 56.25%
SPY230125P00368000 2023-01-24 4:00PM EST 368.00 0.01 0.00 0.01 0.00 - 1,806 640 54.69%
SPY230125P00369000 2023-01-24 3:28PM EST 369.00 0.01 0.00 0.01 -0.01 -50.00% 2,288 312 53.13%
SPY230125P00370000 2023-01-24 4:02PM EST 370.00 0.01 0.00 0.01 -0.01 -50.00% 3,670 1,377 51.56%
SPY230125P00371000 2023-01-24 4:14PM EST 371.00 0.01 0.00 0.01 -0.01 -50.00% 420 1,701 50.00%
