400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJanuary 26, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230126C00430000 2023-01-13 9:40AM EST 430.00 0.02 0.00 0.01 0.00 - - 10 35.16%
SPY230126C00432000 2023-01-19 2:43PM EST 432.00 0.01 0.00 0.01 0.00 - 4 204 37.50%
SPY230126C00436000 2023-01-17 3:33PM EST 436.00 0.01 0.00 0.01 0.00 - - 1 41.41%
SPY230126C00455000 2023-01-13 11:39AM EST 455.00 0.01 0.00 0.01 0.00 - - 1 56.25%
PutsforJanuary 26, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230126P00320000 2023-01-20 3:50PM EST 320.00 0.01 0.00 0.01 0.00 - 25 125 93.75%
SPY230126P00330000 2023-01-23 9:40AM EST 330.00 0.01 0.00 0.00 0.00 - 14 599 50.00%
SPY230126P00337000 2023-01-18 1:11PM EST 337.00 0.02 0.00 0.01 0.00 - - 521 75.00%
SPY230126P00338000 2023-01-20 2:22PM EST 338.00 0.02 0.00 0.01 0.00 - 1 1 73.44%
SPY230126P00339000 2023-01-19 9:51AM EST 339.00 0.03 0.00 0.01 0.00 - - 9 71.88%
SPY230126P00340000 2023-01-23 1:49PM EST 340.00 0.01 0.00 0.01 0.00 - 225 389 71.88%
SPY230126P00341000 2023-01-23 3:20PM EST 341.00 0.01 0.00 0.01 0.00 - 9 156 68.75%
SPY230126P00342000 2023-01-19 10:21AM EST 342.00 0.03 0.00 0.01 0.00 - - 178 68.75%
SPY230126P00343000 2023-01-20 3:18PM EST 343.00 0.02 0.00 0.00 0.00 - 40 120 50.00%
SPY230126P00344000 2023-01-20 2:11PM EST 344.00 0.03 0.00 0.01 0.00 - 8 9 65.63%
SPY230126P00345000 2023-01-23 12:40PM EST 345.00 0.01 0.00 0.01 0.00 - 1 15 65.63%
SPY230126P00346000 2023-01-20 3:57PM EST 346.00 0.02 0.00 0.01 0.00 - 57 53 64.06%
SPY230126P00347000 2023-01-20 3:52PM EST 347.00 0.02 0.00 0.01 0.00 - 87 87 62.50%
SPY230126P00348000 2023-01-20 3:56PM EST 348.00 0.02 0.00 0.01 0.00 - 10 10 60.94%
SPY230126P00349000 2023-01-20 10:27AM EST 349.00 0.02 0.00 0.01 0.00 - 68 136 59.38%
SPY230126P00350000 2023-01-24 9:38AM EST 350.00 0.01 0.00 0.01 0.00 - 1 157 59.38%
SPY230126P00351000 2023-01-23 9:53AM EST 351.00 0.02 0.00 0.00 0.00 - 1 220 50.00%
SPY230126P00354000 2023-01-24 9:35AM EST 354.00 0.01 0.00 0.01 -0.03 -75.00% 1 31 54.69%
SPY230126P00355000 2023-01-24 10:47AM EST 355.00 0.01 0.00 0.01 -0.01 -50.00% 77 42 53.13%
SPY230126P00356000 2023-01-24 10:39AM EST 356.00 0.02 0.00 0.01 -0.03 -60.00% 60 60 51.56%
SPY230126P00357000 2023-01-24 3:27PM EST 357.00 0.01 0.00 0.01 -0.03 -75.00% 26 512 51.56%
SPY230126P00358000 2023-01-24 3:39PM EST 358.00 0.01 0.00 0.01 -0.01 -50.00% 25 7 50.00%
SPY230126P00359000 2023-01-19 12:46PM EST 359.00 0.07 0.00 0.01 0.00 - - 85 51.56%
SPY230126P00360000 2023-01-24 2:46PM EST 360.00 0.01 0.00 0.02 -0.01 -50.00% 220 1,620 50.78%
SPY230126P00361000 2023-01-23 3:52PM EST 361.00 0.02 0.01 0.02 0.00 - 316 364 51.56%
SPY230126P00362000 2023-01-23 3:52PM EST 362.00 0.02 0.01 0.02 0.00 - 369 397 50.00%
SPY230126P00363000 2023-01-24 3:03PM EST 363.00 0.01 0.00 0.00 -0.01 -50.00% 101 218 25.00%
SPY230126P00364000 2023-01-24 2:40PM EST 364.00 0.02 0.01 0.02 0.00 - 102 195 49.22%
SPY230126P00365000 2023-01-24 1:54PM EST 365.00 0.01 0.00 0.00 -0.01 -50.00% 1 351 25.00%
SPY230126P00366000 2023-01-23 12:25PM EST 366.00 0.02 0.00 0.00 0.00 - 4 249 25.00%
SPY230126P00367000 2023-01-23 11:37AM EST 367.00 0.02 0.01 0.02 0.00 - 3 456 45.31%
SPY230126P00368000 2023-01-24 3:51PM EST 368.00 0.02 0.01 0.02 -0.02 -50.00% 23 76 44.14%
SPY230126P00369000 2023-01-24 3:54PM EST 369.00 0.02 0.02 0.03 -0.01 -33.33% 52 445 44.92%
SPY230126P00370000 2023-01-24 3:06PM EST 370.00 0.01 0.01 0.03 -0.02 -66.67% 81 330 43.36%
SPY230126P00371000 2023-01-24 3:58PM EST 371.00 0.02 0.01 0.03 -0.01 -33.33% 181 254 42.19%
SPY230126P00372000 2023-01-24 4:06PM EST 372.00 0.02 0.01 0.03 -0.01 -33.33% 7,530 188 40.82%
SPY230126P00373000 2023-01-24 4:11PM EST 373.00 0.02 0.02 0.03 -0.01 -33.33% 18 200 39.45%
SPY230126P00374000 2023-01-24 3:48PM EST 374.00 0.03 0.02 0.03 -0.01 -25.00% 5,311 384 38.28%
