400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforApril 21, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230421C00413000 2023-01-24 2:46PM EST 413.00 8.89 9.00 9.19 -0.26 -2.84% 484 753 18.58%
SPY230421C00414000 2023-01-24 1:59PM EST 414.00 8.54 8.53 8.73 -0.22 -2.51% 28 92 18.42%
SPY230421C00415000 2023-01-24 4:03PM EST 415.00 8.44 8.09 8.29 -0.01 -0.12% 1,337 7,129 18.27%
SPY230421C00416000 2023-01-24 3:53PM EST 416.00 7.49 7.68 7.87 -0.31 -3.97% 58 205 18.14%
SPY230421C00417000 2023-01-24 10:56AM EST 417.00 7.33 7.27 7.46 +0.06 +0.83% 1 6 18.00%
SPY230421C00418000 2023-01-24 10:56AM EST 418.00 6.94 6.88 7.07 -0.25 -3.48% 1 30 17.87%
SPY230421C00419000 2023-01-24 3:17PM EST 419.00 6.38 6.49 6.68 -0.27 -4.06% 9 16 17.72%
SPY230421C00420000 2023-01-24 4:14PM EST 420.00 6.18 6.13 6.31 -0.18 -2.83% 1,219 33,423 17.59%
SPY230421C00425000 2023-01-24 4:01PM EST 425.00 4.61 4.50 4.68 -0.18 -3.76% 465 15,434 16.98%
SPY230421C00430000 2023-01-24 4:05PM EST 430.00 3.40 3.23 3.39 -0.05 -1.45% 890 13,093 16.47%
SPY230421C00435000 2023-01-24 4:01PM EST 435.00 2.35 2.25 2.40 -0.08 -3.29% 151 6,686 16.03%
SPY230421C00440000 2023-01-24 4:08PM EST 440.00 1.66 1.54 1.67 -0.06 -3.49% 80 3,203 15.69%
SPY230421C00445000 2023-01-24 4:13PM EST 445.00 1.09 1.04 1.14 -0.08 -6.84% 95 2,232 15.42%
SPY230421C00450000 2023-01-24 3:47PM EST 450.00 0.68 0.70 0.78 -0.12 -15.00% 212 16,635 15.26%
SPY230421C00455000 2023-01-24 11:37AM EST 455.00 0.51 0.48 0.54 -0.11 -17.74% 48 1,887 15.20%
SPY230421C00460000 2023-01-24 3:36PM EST 460.00 0.34 0.33 0.38 -0.04 -10.53% 102 2,500 15.24%
SPY230421C00465000 2023-01-24 1:45PM EST 465.00 0.28 0.23 0.28 0.00 - 112 701 15.41%
SPY230421C00470000 2023-01-24 1:45PM EST 470.00 0.20 0.17 0.21 -0.02 -9.09% 107 3,916 15.63%
SPY230421C00475000 2023-01-24 1:45PM EST 475.00 0.14 0.12 0.16 -0.02 -12.50% 1 891 15.87%
SPY230421C00480000 2023-01-24 1:45PM EST 480.00 0.11 0.11 0.12 -0.01 -8.33% 11 1,764 16.07%
